index,blockTime,tickCumulative,secondsPerLiquidityCumulativeX128,initialized
0,1711016087,-5002013155162,12273774448496437907525658,true
1,1711016111,-5002014520546,12273774458507915614397832,true
2,1711016315,-5002026125290,12273774543605476122811315,true
3,1711016327,-5002026807898,12273774548611214976247402,true
4,1711016531,-5002038412642,12273774633708775484660885,true
5,1711016555,-5002039777810,12273774643720253191533059,true
6,1711016735,-5002050015490,12273774717360663889860847,true
7,1711016747,-5002050697918,12273774722270024603082699,true
8,1711016771,-5002052062630,12273774732088746029526404,true
9,1711018055,-5002125069586,12273775257390342344264630,true
10,1711018139,-5002129845070,12273775291755867336817598,true
11,1711019675,-5002217169742,12273775920154038629214728,true
12,1711021139,-5002300341046,12273776518853381765587671,true
13,1711021571,-5002324877782,12273776695518761707468211,true
14,1711021847,-5002340554030,12273776808457965219658707,true
15,1711022915,-5002401214294,12273777241567700909224939,true
16,1711022975,-5002404621874,12273777265899708532234277,true
17,1711023167,-5002415524978,12273777343762132925864161,true
18,1711023227,-5002418932018,12273777368094140548873499,true
19,1711023371,-5002427108914,12273777427847690746774489,true
20,1711023647,-5002442781298,12273777539733562081508280,true
21,1711023755,-5002448913430,12273777583514989995099763,true
22,1711024787,-5002507505230,12273778001870856724973941,true
23,1711025315,-5002537488238,12273778215913393191421195,true
24,1711025423,-5002543622206,12273778259694821105012678,true
25,1711025927,-5002572251422,12273778464008151368439602,true
26,1711026023,-5002577706334,12273778502940612361064613,true
27,1711026131,-5002583843002,12273778546739630977767750,true
28,1711026299,-5002593389770,12273778614871437714861519,true
29,1711026311,-5002594071742,12273778619737995338939645,true
30,1711026467,-5002602938470,12273778683003244451955288,true
31,1711028975,-5002745505730,12273779700113787884283710,true
32,1711029035,-5002748916190,12273779724446576004674342,true
33,1711029227,-5002759828510,12273779802311497989924364,true
34,1711030919,-5002855984870,12273780488496122984940189,true
35,1711030931,-5002856666674,12273780493360726086450353,true
36,1711031819,-5002907116618,12273780853341355598202552,true
37,1711031831,-5002907798362,12273780858205958699712716,true
38,1711032191,-5002928251042,12273781004144051745017661,true
39,1711032215,-5002929614458,12273781013873257948037990,true
40,1711032431,-5002941884554,12273781101436113775220957,true
41,1711032815,-5002963696522,12273781257103413023546232,true
42,1711032947,-5002971193858,12273781310614047140158045,true
43,1711032983,-5002973238370,12273781325207856444688539,true
44,1711033019,-5002975282738,12273781339801665749219033,true
45,1711033127,-5002981415302,12273781383583093662810516,true
46,1711034075,-5003035246534,12273781767886738682113540,true
47,1711034279,-5003046828838,12273781850584991407786342,true
48,1711034291,-5003047510090,12273781855449594509296506,true
49,1711035035,-5003089742506,12273782157054986802926727,true
50,1711035095,-5003093148046,12273782181847476284311158,true
51,1711035443,-5003112898090,12273782325643915276340860,true
52,1711035743,-5003129923990,12273782449605976597270278,true
53,1711035911,-5003139457486,12273782519024730936990752,true
54,1711036367,-5003165331838,12273782707447064144803467,true
55,1711036883,-5003194589554,12273782920661809616802066,true
56,1711037459,-5003227253362,12273783158668967352986548,true
57,1711037531,-5003231336914,12273783188419862070009608,true
58,1711038419,-5003281701610,12273783555347563579960685,true
59,1711041107,-5003434143466,12273784666047633015488271,true
60,1711042223,-5003497421782,12273785127186501129345706,true
61,1711042715,-5003525324086,12273785330484281695669951,true
62,1711044323,-5003616518590,12273785994920930375851632,true
63,1711044419,-5003621963902,12273786034588789998549045,true
64,1711045643,-5003691398974,12273786540354000187941071,true
65,1711046015,-5003712503650,12273786694066956225893549,true
66,1711046063,-5003715227026,12273786713900886037242255,true
67,1711046099,-5003717269666,12273786728776333395753785,true
68,1711046159,-5003720674246,12273786753568745659939668,true
69,1711046207,-5003723398150,12273786773402675471288374,true
70,1711046579,-5003744509894,12273786927115631509240852,true
71,1711046915,-5003763579910,12273787065953140188681800,true
72,1711047455,-5003794230850,12273787284859610872135751,true
73,1711048163,-5003834420470,12273787571870316879330931,true
74,1711049207,-5003893678954,12273787995089493534008570,true
75,1711049495,-5003910024970,12273788114093072402100811,true
76,1711049615,-5003916835210,12273788163677896930472578,true
77,1711049639,-5003918197162,12273788173594861836146931,true
78,1711049687,-5003920920826,12273788193428791647495637,true
79,1711049819,-5003928410374,12273788247972098628704580,true
80,1711049831,-5003929091146,12273788252930581081541756,true
81,1711049843,-5003929771882,12273788257889063534378932,true
82,1711050455,-5003964485746,12273788510771668629074945,true
83,1711050467,-5003965166362,12273788515730151081912121,true
84,1711050479,-5003965846906,12273788520688633534749297,true
85,1711051139,-5004003274186,12273788793405168440794016,true
86,1711052243,-5004065875402,12273789249585554101814274,true
87,1711052267,-5004067236202,12273789259779839794031036,true
88,1711052339,-5004071318170,12273789290362696870681324,true
89,1711052351,-5004071998438,12273789295459839716789705,true
90,1711055699,-5004261779818,12273790717562693781028102,true
