index,blockTime,tickCumulative,secondsPerLiquidityCumulativeX128,initialized
0,1708699067,-22535202580558,250411016142478972235485774893,true
1,1708699091,-22535208655390,250411019795988678199679712452,true
2,1708699103,-22535211692722,250411021622743531181776681231,true
3,1708699115,-22535214732082,250411023449498384163873650010,true
4,1708699127,-22535217768250,250411025285500899641485248595,true
5,1708699151,-22535223840250,250411028957505930596708445766,true
6,1708699163,-22535226872734,250411030793509118966875905046,true
7,1708699175,-22535229906142,250411032629511695977144663349,true
8,1708699187,-22535232942574,250411034456266548959241632128,true
9,1708699199,-22535235983566,250411036278034974322865514905,true
10,1708699223,-22535242059094,250411039931544680287059452464,true
11,1708699235,-22535245097338,250411041758299533269156421243,true
12,1708699247,-22535248132810,250411043594302048746768019828,true
13,1708699259,-22535251169422,250411045421056901728864988607,true
14,1708699271,-22535254207066,250411047247811754710961957386,true
15,1708699283,-22535257243702,250411049074566607693058926165,true
16,1708699415,-22535290633894,250411069270594277946786510607,true
17,1708699427,-22535293671058,250411071097349130928883479386,true
18,1708699439,-22535296707670,250411072924103983910980448165,true
19,1708699463,-22535302782622,250411076577613689875174385724,true
20,1708699523,-22535317964662,250411085711387954785659229622,true
21,1708699535,-22535321000278,250411087547390470263270828207,true
22,1708699559,-22535327072302,250411091219395501218494025378,true
23,1708699595,-22535336177602,250411096727403047651328821135,true
24,1708699667,-22535354385394,250411107743418140516998412649,true
25,1708699691,-22535360454778,250411111415423171472221609820,true
26,1708699703,-22535363483350,250411113250822254458482231005,true
27,1708699715,-22535366510554,250411115086221337444742852190,true
28,1708699727,-22535369544778,250411116922223852922354450775,true
29,1708699739,-22535372578354,250411118758226429932623209078,true
30,1708699751,-22535375611150,250411120594229006942891967381,true
31,1708699763,-22535378644630,250411122430231583953160725684,true
32,1708699775,-22535381675350,250411124266237207453139900400,true
33,1708699787,-22535384707738,250411126102240395823307359680,true
34,1708699811,-22535390770282,250411129774251642823265709112,true
35,1708699823,-22535393800882,250411131610257266323244883828,true
36,1708699835,-22535396833078,250411133446260454693412343108,true
37,1708699859,-22535402897806,250411137118266831433747261668,true
38,1708699871,-22535405929450,250411138954272454933726436384,true
39,1708699883,-22535408959246,250411140790278078433705611100,true
40,1708699895,-22535411990626,250411142626283701933684785816,true
41,1708699931,-22535421080158,250411148134300572433622309965,true
42,1708699967,-22535430167278,250411153640497821392404173521,true
43,1708699979,-22535433195778,250411155475896904378664794706,true
44,1708699991,-22535436225454,250411157311295987364925415891,true
45,1708700015,-22535442287758,250411160983307234364883765323,true
46,1708700027,-22535445318394,250411162819312857864862940039,true
47,1708700099,-22535463501346,250411173835346598864737988337,true
48,1708700111,-22535466531286,250411175671352222364717163053,true
49,1708700123,-22535469560662,250411177506751305350977784238,true
50,1708700171,-22535481673222,250411184848347637296020268980,true
51,1708700183,-22535484700294,250411186683746720282280890165,true
52,1708700195,-22535487727882,250411188519145803268541511350,true
53,1708700207,-22535490754942,250411190354544886254802132535,true
54,1708700267,-22535505887602,250411199531543610866812113014,true
55,1708700291,-22535511943930,250411203202341776839333355385,true
56,1708700375,-22535533136710,250411216050135357743157703684,true
57,1708700399,-22535539188766,250411219720934847587961695875,true
58,1708700435,-22535548269550,250411225227132096546743559431,true
59,1708700459,-22535554324486,250411228897930262519264801802,true
60,1708700483,-22535560382062,250411232568728428491786044173,true
61,1708700507,-22535566438558,250411236239526594464307286544,true
62,1708700531,-22535572498030,250411239910324760436828528915,true
63,1708700543,-22535575526686,250411241745723843423089150100,true
64,1708700555,-22535578555546,250411243581122926409349771285,true
65,1708700567,-22535581585462,250411245417128549909328946001,true
66,1708700627,-22535596729282,250411254594123964840632051928,true
67,1708700687,-22535611874902,250411263771119379771935157855,true
68,1708700699,-22535614904530,250411265606518462758195779040,true
69,1708700747,-22535627025682,250411272950540956758112477905,true
70,1708700759,-22535630055238,250411274785940039744373099090,true
71,1708700771,-22535633084542,250411276621339122730633720275,true
72,1708700855,-22535654286394,250411289469132703634458068574,true
73,1708700867,-22535657315578,250411291304531786620718689759,true
74,1708700915,-22535669433754,250411298646128118565761174501,true
75,1708700939,-22535675491594,250411302316926284538282416872,true
76,1708700951,-22535678519470,250411304152325367524543038057,true
77,1708700987,-22535687598958,250411309658524602291749026344,true
78,1708700999,-22535690623486,250411311493924476340614910597,true
79,1708701023,-22535696674390,250411315164723966185418902788,true
80,1708701155,-22535729968354,250411335354121160331840859843,true
81,1708701191,-22535739051334,250411340860318409290622723399,true
82,1708701227,-22535748136546,250411346366515658249404586955,true
83,1708701239,-22535751164662,250411348201914741235665208140,true
84,1708701359,-22535781453382,250411366555905571098271419995,true
85,1708701407,-22535793564742,250411373897501903043313904737,true
86,1708701419,-22535796591946,250411375732900986029574525922,true
87,1708701431,-22535799618442,250411377568300730951976522017,true
88,1708701443,-22535802645262,250411379403700475874378518112,true
89,1708701575,-22535835949918,250411399593090388723245351153,true
90,1708701587,-22535838976558,250411401428490133645647347248,true
91,1708701611,-22535845026886,250411405099289881743379115754,true
92,1708701623,-22535848051234,250411406934689755792245000007,true
93,1708701647,-22535854101106,250411410605489503889976768513,true
94,1708701659,-22535857125850,250411412440889377938842652766,true
95,1708701707,-22535869218922,250411419782488874134306189779,true
96,1708701719,-22535872240474,250411421617874566454695991360,true
97,1708701743,-22535878286146,250411425288674314552427759866,true
98,1708701755,-22535881309198,250411427124074188601293644119,true
99,1708701767,-22535884330930,250411428959459880921683445700,true
100,1708701779,-22535887350586,250411430794942963727500390834,true
101,1708701791,-22535890370458,250411432630424817436793790237,true
102,1708701827,-22535899428670,250411438136874065854244625640,true
103,1708701887,-22535914530850,250411447314146973282244743770,true
104,1708701923,-22535923589782,250411452820596221699695579173,true
105,1708701935,-22535926608874,250411454656079304505512524307,true
106,1708701947,-22535929627570,250411456491769516275443894767,true
107,1708701995,-22535941705666,250411463833701847498711675305,true
108,1708702007,-22535944724434,250411465669392059268643045765,true
109,1708702043,-22535953778038,250411471176462694578437157146,true
110,1708702067,-22535959815790,250411474847843118118299898067,true
111,1708702079,-22535962835302,250411476683326200924116843201,true
112,1708702091,-22535965853926,250411478519016412694048213661,true
113,1708702103,-22535968870594,250411480354710381939514265585,true
114,1708702115,-22535971887406,250411482190400928361412627877,true
115,1708702127,-22535974901470,250411484026519187570482381342,true
116,1708702139,-22535977916422,250411485862637446779552134807,true
117,1708702151,-22535980932394,250411487698698475228511016977,true
118,1708702163,-22535983947514,250411489534816734437580770442,true
119,1708702175,-22535986961986,250411491370934993646650523907,true
120,1708702211,-22535996002198,250411496893439966210290618417,true
121,1708702247,-22536005045578,250411502401794743837499878814,true
122,1708702259,-22536008058922,250411504242629734692046576984,true
123,1708702283,-22536014085226,250411507924405471367376615707,true
124,1708702307,-22536020113618,250411511596641989785516122638,true
125,1708702319,-22536023128402,250411513432760248994585876103,true
126,1708702343,-22536029158858,250411517104996767412725383034,true
