time,price,timeRange(seconds)
2024-02-21T06:07:11Z[UTC],7.40,1188
2024-02-21T06:35:23Z[UTC],7.36,1692
2024-02-21T07:01:35Z[UTC],7.33,1572
2024-02-21T07:03:23Z[UTC],7.31,108
2024-02-21T07:08:11Z[UTC],7.28,288
2024-02-21T07:25:11Z[UTC],7.26,1020
2024-02-21T08:06:59Z[UTC],7.28,2508
2024-02-21T08:28:47Z[UTC],7.30,1308
2024-02-21T09:18:11Z[UTC],7.32,2964
2024-02-21T09:25:59Z[UTC],7.30,468
2024-02-21T09:27:47Z[UTC],7.28,108
2024-02-21T09:40:59Z[UTC],7.25,792
2024-02-21T09:41:35Z[UTC],7.23,36
2024-02-21T09:57:23Z[UTC],7.22,948
2024-02-21T10:27:11Z[UTC],7.19,1788
2024-02-21T10:43:47Z[UTC],7.21,996
2024-02-21T10:53:23Z[UTC],7.23,576
2024-02-21T11:04:47Z[UTC],7.25,684
2024-02-21T11:36:59Z[UTC],7.27,1932
2024-02-21T12:07:23Z[UTC],7.25,1824
2024-02-21T12:14:35Z[UTC],7.23,432
2024-02-21T12:26:11Z[UTC],7.25,696
2024-02-21T12:43:11Z[UTC],7.27,1020
2024-02-21T13:34:23Z[UTC],7.29,3072
2024-02-21T13:53:23Z[UTC],7.27,1140
2024-02-21T14:18:23Z[UTC],7.24,1500
2024-02-21T14:26:47Z[UTC],7.21,504
2024-02-21T14:29:23Z[UTC],7.18,156
2024-02-21T15:15:59Z[UTC],7.16,2796
2024-02-21T15:23:35Z[UTC],7.18,456
2024-02-21T17:37:11Z[UTC],7.21,8016
2024-02-21T17:50:47Z[UTC],7.19,816
2024-02-21T17:57:23Z[UTC],7.16,396
2024-02-21T18:28:47Z[UTC],7.14,1884
2024-02-21T19:05:35Z[UTC],7.10,2208
2024-02-21T19:18:23Z[UTC],7.13,768
2024-02-21T21:06:35Z[UTC],7.15,6492
2024-02-21T21:27:35Z[UTC],7.17,1260
2024-02-21T21:29:59Z[UTC],7.20,144
2024-02-21T21:40:23Z[UTC],7.23,624
2024-02-21T22:26:23Z[UTC],7.26,2760
2024-02-21T22:40:11Z[UTC],7.29,828
2024-02-21T22:54:23Z[UTC],7.32,852
2024-02-21T23:16:47Z[UTC],7.31,1344
2024-02-21T23:38:23Z[UTC],7.33,1296
2024-02-22T01:15:35Z[UTC],7.35,5832
2024-02-22T01:39:47Z[UTC],7.38,1452
2024-02-22T01:51:47Z[UTC],7.36,720
